StartDate,EndDate,Attn1,Attn2,Efficacy1,Efficacy2,Efficacy3,Efficacy4,Efficacy5,Efficacy6,CAB1,CAB2,CAB3,CAB4,CAB5,CAB6,CAB7,CAB8,Ecoanx1,Ecoanx2,Ecoanx3,Ecoanx4,Ecoang1,Ecoang2,Ecoang3,Ecoang4,Ecodep1,Ecodep2,Ecodep3,Ecodep4,Ecohope1,Ecohope2,Ecohope3,Ecohope4,Affective1,Affective2,Affective3,Affective4,Ruminat1,Ruminat2,Ruminat3,Behav1,Behav2,Behav3,Persim1,Persim2,Persim3,Injustice2,Injustice3,Injustice4,Worry1,Worry2,Worry3,Worry4,Worry5,Age,GenderNum,GenderText,FinStress1,FinStress2,FinStress3,FinStress4,FinStress5,FinStress6,FinStress7,FAILED_ATTN1,FAILED_ATTN2,FAILED_ATTN,FINSTRESS_TOTAL,FINSTRESS_BINARY,GENDER_BINARY,EFFICACY_MEAN,CAB_MEAN,ECOANX_MEAN,ECOANG_MEAN,ECODEP_MEAN,ECOHOPE_MEAN,WORRY_MEAN,Mean_GenInJust,AFFECTIVE_MEAN,RUMINAT_MEAN,BEHAV_MEAN,PERSIM_MEAN
13885503441,13885503766,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,33,39,45,62,51,100,43,16,37,63,36,62,75,79,76,79,35,26,27,35,74,66,31,50,Several of the days,Several of the days,Several of the days,Several of the days,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Several of the days,Several of the days,Over half the days,Agree,Strongly agree,Strongly agree,3,3,3,3,3,31,Man,-99,No,No,Yes,Yes,No,Yes,No,Pass,Pass,0,3,Some financial stress,Man,5.333333333333333,48.625,49.5,77.25,30.75,55.25,3,6.666666666666667,Several of the days,Over half the days,Over half the days,1.3333333333333333
13885504164,13885504394,Strongly disagree,Nearly every day,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,82,84,90,0,100,0,0,0,0,100,81,100,100,0,90,0,84,60,50,0,0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,4,3,4,2,3,33,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,1.1666666666666667,44.5,0,95.25,43.5,27.5,3.2,1,Not at all,Not at all,Not at all,Not at all
13885502838,13885503279,Strongly disagree,Nearly every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,50,50,100,100,Several of the days,Several of the days,Not at all,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Strongly agree,Strongly agree,Strongly agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,18,Man,-99,No,No,Yes,No,No,Yes,No,Pass,Pass,0,2,Some financial stress,Man,6.666666666666667,62.5,100,100,25,75,5,7,0.75,Several of the days,Not at all,Several of the days
13885504740,13885505228,Strongly disagree,Nearly every day,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,0,0,0,0,0,48,47,22,76,88,92,87,94,91,89,84,18,26,20,32,23,20,21,39,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Neither agree nor disagree,Somewhat disagree,Somewhat agree,2,2,2,2,2,21,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,4.666666666666667,14.625,85.75,89.5,24,25.75,2,4,Several of the days,Several of the days,Not at all,Not at all
13885416632,13885417099,Strongly disagree,Nearly every day,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,40,60,100,50,60,70,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,50,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Several of the days,Strongly agree,Strongly agree,Strongly agree,4,4,4,4,4,29,I prefer to self-describe:,Androgynous,Yes,Yes,Yes,No,Yes,No,Yes,Pass,Pass,0,5,Some financial stress,199,Disagree,60,100,100,100,12.5,4,7,Several of the days,Several of the days,0.6666666666666666,0.3333333333333333
13885416293,13885417041,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,70,0,100,80,11,47,100,70,64,100,59,88,86,25,19,21,14,11,17,23,0,0,0,35,Over half the days,Several of the days,Several of the days,Several of the days,Over half the days,Over half the days,Over half the days,Not at all,Not at all,Not at all,Over half the days,Several of the days,Several of the days,Strongly agree,Strongly agree,Agree,3,4,4,4,3,22,Woman,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Woman,5.333333333333333,59.75,77.75,37.75,16.25,8.75,3.6,6.666666666666667,1.25,Over half the days,Not at all,1.3333333333333333
13885504237,13885504453,Strongly disagree,Nearly every day,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,0,0,50,50,50,50,50,50,100,100,100,100,50,50,50,50,100,100,100,100,0,0,0,0,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Neither agree nor disagree,Agree,Agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,24,Woman,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Woman,2.5,37.5,100,50,100,0,5,5.333333333333333,0.75,Not at all,0.3333333333333333,Not at all
13885504393,13885504781,Strongly disagree,Nearly every day,Agree,Agree,Agree,Agree,Agree,Agree,0,0,70,100,100,0,0,20,80,80,80,80,100,50,100,50,20,10,20,80,2,2,5,60,Several of the days,Not at all,Not at all,Several of the days,Over half the days,Over half the days,Over half the days,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Strongly agree,Agree,Strongly agree,3,Not at all typical of me,3,2,4,48,Man,-99,No,No,No,No,No,Yes,No,Pass,Pass,0,1,Some financial stress,Man,Agree,36.25,80,75,32.5,17.25,2.6,6.666666666666667,0.5,Over half the days,Not at all,Several of the days
13885504234,13885505304,Strongly disagree,Nearly every day,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,0,0,0,25,25,50,20,50,85,100,85,90,90,0,95,90,90,75,95,90,80,80,85,100,Several of the days,Several of the days,Several of the days,Not at all,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Several of the days,Strongly agree,Strongly agree,Strongly agree,Very typical of me,Very typical of me,Very typical of me,4,Very typical of me,62,Woman,-99,No,No,No,No,No,Yes,No,Pass,Pass,0,1,Some financial stress,Woman,6.5,21.25,90,68.75,87.5,86.25,4.8,7,0.75,Several of the days,0.3333333333333333,0.3333333333333333
13885505030,13885507098,Strongly disagree,Nearly every day,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Neither agree nor disagree,0,0,0,0,0,0,0,0,40,20,25,0,20,0,0,0,15,0,0,0,85,70,60,40,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,Agree,3,3,3,4,3,20,I prefer to self-describe:,non binary,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,199,5.166666666666667,0,21.25,5,3.75,63.75,3.2,4.666666666666667,Several of the days,Not at all,Several of the days,Not at all
13885503786,13885505779,Strongly disagree,Nearly every day,Strongly agree,Agree,Agree,Agree,Agree,Agree,0,0,10,60,20,35,0,0,90,90,85,85,80,90,85,85,15,10,10,75,100,95,70,100,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2,3,2,Not at all typical of me,Not at all typical of me,60,Man,-99,No,No,No,No,No,No,Yes,Pass,Pass,0,1,Some financial stress,Man,6.166666666666667,15.625,87.5,85,27.5,91.25,1.8,4.333333333333333,0.25,Not at all,Not at all,Not at all
13885504063,13885504606,Strongly disagree,Nearly every day,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,16,76,96,79,85,88,90,90,86,94,82,72,86,76,83,50,59,77,90,85,85,83,82,87,Over half the days,Over half the days,Over half the days,Over half the days,Several of the days,Several of the days,Several of the days,Several of the days,Over half the days,Several of the days,Several of the days,Several of the days,Several of the days,Strongly agree,Agree,Agree,4,2,4,4,4,24,Woman,-99,Yes,No,No,Yes,No,Yes,Yes,Pass,Pass,0,4,Some financial stress,Woman,5.666666666666667,77.5,83.5,73.75,77.75,84.25,3.6,6.333333333333333,Over half the days,Several of the days,1.3333333333333333,Several of the days
13885504412,13885505085,Strongly disagree,Nearly every day,Agree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,0,0,0,20,10,0,0,0,50,80,30,70,60,10,20,15,5,20,30,35,70,90,60,75,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Agree,Agree,Strongly agree,Very typical of me,Very typical of me,4,4,Very typical of me,18,I prefer to self-describe:,Non-Binary,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,199,5.833333333333333,3.75,57.5,26.25,22.5,73.75,4.6,6.333333333333333,Not at all,Not at all,Not at all,Several of the days
13885504953,13885505392,Strongly disagree,Nearly every day,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,0,0,0,24,0,0,0,0,20,100,50,80,70,0,80,0,0,0,30,0,0,0,0,15,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,4,4,4,Very typical of me,Very typical of me,34,I prefer to self-describe:,non-binary,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,199,1.5,3,62.5,37.5,7.5,3.75,4.4,7,Not at all,Not at all,Not at all,Not at all
13885505114,13885505601,Strongly disagree,Nearly every day,Agree,Slightly agree,Strongly agree,Strongly agree,Agree,Agree,40,50,100,100,75,100,100,100,30,60,30,60,90,35,35,35,15,10,20,15,35,10,10,90,Several of the days,Not at all,Not at all,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Not at all,Several of the days,Over half the days,Over half the days,Strongly agree,Somewhat agree,Strongly agree,Not at all typical of me,Not at all typical of me,2,Not at all typical of me,Not at all typical of me,29,Woman,-99,Yes,Yes,Yes,Yes,Yes,Yes,No,Pass,Pass,0,6,Some financial stress,Woman,6.166666666666667,83.125,45,48.75,15,36.25,1.2,6.333333333333333,0.25,0.3333333333333333,Not at all,1.6666666666666667
13885503457,13885503883,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Neither agree nor disagree,Slightly agree,Agree,Slightly agree,10,30,90,100,25,54,71,67,51,89,14,80,45,0,63,38,76,50,90,41,0,0,0,78,Not at all,Not at all,Not at all,Not at all,Several of the days,Not at all,Not at all,Nearly every day,Not at all,Several of the days,Not at all,Not at all,Several of the days,Agree,Agree,Agree,2,2,3,2,4,23,Man,-99,Yes,No,Yes,Yes,No,No,No,Pass,Pass,0,3,Some financial stress,Man,Slightly agree,55.875,58.5,36.5,64.25,19.5,2.6,6,Not at all,0.3333333333333333,1.3333333333333333,0.3333333333333333
13885504862,13885505674,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,0,1,25,40,0,25,90,0,75,95,75,55,70,70,70,65,45,30,70,75,0,0,0,50,Over half the days,Nearly every day,Nearly every day,Several of the days,Not at all,Not at all,Not at all,Over half the days,Over half the days,Over half the days,Not at all,Not at all,Not at all,Neither agree nor disagree,Disagree,Somewhat agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,33,Woman,-99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pass,Pass,0,7,Some financial stress,Woman,5.333333333333333,22.625,75,68.75,55,12.5,5,3.6666666666666665,2.25,Not at all,Over half the days,Not at all
13885504952,13885505869,Strongly disagree,Nearly every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40,27,70,97,89,81,87,91,37,65,35,21,3,3,3,27,19,0,15,31,26,58,11,59,Several of the days,Several of the days,Several of the days,Not at all,Several of the days,Several of the days,Not at all,Not at all,Several of the days,Not at all,Several of the days,Several of the days,Not at all,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,Very typical of me,Very typical of me,Very typical of me,Very typical of me,27,Man,-99,No,No,Yes,No,No,No,No,Pass,Pass,0,1,Some financial stress,Man,Strongly agree,72.75,39.5,9,16.25,38.5,4.8,4.666666666666667,0.75,0.6666666666666666,0.3333333333333333,0.6666666666666666
13885503075,13885503527,Strongly disagree,Nearly every day,Slightly agree,Slightly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Slightly disagree,0,0,0,0,0,0,0,0,60,60,60,50,20,10,0,15,25,0,10,10,0,0,0,5,Over half the days,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Nearly every day,Several of the days,Several of the days,Not at all,Not at all,Not at all,Strongly agree,Agree,Agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,51,Man,-99,Yes,Yes,No,No,No,No,No,Pass,Pass,0,2,Some financial stress,Man,Slightly disagree,0,57.5,11.25,11.25,1.25,5,6.333333333333333,0.75,Not at all,1.6666666666666667,Not at all
13885502733,13885503075,Strongly disagree,Nearly every day,Slightly disagree,Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,Slightly disagree,0,0,0,50,11,0,0,0,71,72,54,72,51,63,0,63,82,58,81,83,0,0,0,0,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,Not at all,Somewhat disagree,Strongly disagree,Strongly disagree,2,2,2,2,3,41,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,3.3333333333333335,7.625,67.25,44.25,76,0,2.2,1.6666666666666667,0.75,Not at all,Over half the days,Not at all
13885504186,13885504665,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Agree,Neither agree nor disagree,Slightly agree,Agree,0,0,18,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Disagree,Disagree,Disagree,Not at all typical of me,Not at all typical of me,2,Not at all typical of me,2,58,Woman,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Woman,5.166666666666667,4.125,0,0,0,100,1.4,2,Not at all,Not at all,Not at all,Not at all
13885500424,13885501007,Strongly disagree,Nearly every day,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,0,0,50,50,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Disagree,Disagree,Disagree,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,71,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,2.3333333333333335,18.75,0,0,0,80,1,2,Not at all,Not at all,0.3333333333333333,Not at all
13885504580,13885504984,Strongly disagree,Nearly every day,Agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Agree,0,0,42,81,18,58,1,0,55,60,62,60,77,65,75,75,36,4,23,25,3,8,8,51,Several of the days,Not at all,Several of the days,Several of the days,Over half the days,Over half the days,Several of the days,Not at all,Not at all,Not at all,Several of the days,Not at all,Several of the days,Strongly agree,Strongly agree,Strongly agree,4,4,Very typical of me,Very typical of me,Very typical of me,35,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,5.666666666666667,25,59.25,73,22,17.5,4.6,7,0.75,1.6666666666666667,Not at all,0.6666666666666666
13885504961,13885505940,Strongly disagree,Nearly every day,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,0,3,0,0,0,0,5,0,0,0,0,10,0,0,0,0,3,3,5,2,62,56,45,70,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Agree,Strongly agree,Strongly agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,33,Man,-99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pass,Pass,0,7,Some financial stress,Man,6.5,1,2.5,0,3.25,58.25,5,6.666666666666667,Several of the days,0.3333333333333333,Not at all,Not at all
13885504357,13885504966,Strongly disagree,Nearly every day,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,0,0,10,49,0,0,0,12,27,53,27,54,53,75,53,45,55,3,40,16,0,0,0,0,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Over half the days,Over half the days,Over half the days,Neither agree nor disagree,Strongly disagree,Strongly disagree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,43,Woman,-99,Yes,Yes,Yes,No,No,Yes,No,Pass,Pass,0,4,Some financial stress,Woman,2.6666666666666665,8.875,40.25,56.5,28.5,0,5,2,Several of the days,Several of the days,Not at all,Over half the days
13885503755,13885504163,Strongly disagree,Nearly every day,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,100,100,0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,37,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,Strongly disagree,0,0,0,0,74.5,1,1,Not at all,Not at all,Not at all,Not at all
13885504165,13885504616,Strongly disagree,Nearly every day,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,0,0,50,80,10,10,0,70,80,100,70,100,100,80,60,80,90,40,60,90,0,0,0,30,Several of the days,Not at all,Several of the days,Several of the days,Not at all,Not at all,Not at all,Over half the days,Over half the days,Over half the days,Several of the days,Several of the days,Several of the days,Agree,Strongly agree,Strongly agree,Very typical of me,Very typical of me,4,3,Very typical of me,27,I prefer to self-describe:,Non-binary,No,No,Yes,No,No,Yes,No,Pass,Pass,0,2,Some financial stress,199,5.333333333333333,27.5,87.5,80,70,7.5,4.4,6.666666666666667,0.75,Not at all,Over half the days,Several of the days
13885502357,13885502772,Strongly disagree,Nearly every day,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,0,52,0,0,0,0,50,0,19,18,0,0,0,0,0,0,0,0,18,0,37,37,0,1,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Not at all,Over half the days,Nearly every day,Several of the days,Not at all,Not at all,Not at all,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all typical of me,2,Not at all typical of me,2,Not at all typical of me,46,Woman,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Woman,5.5,12.75,9.25,0,4.5,18.75,1.4,4,0.25,Not at all,Over half the days,Not at all
